game_id,genre_id
881,5
881,15
1243,4
9105,9
9105,15
9105,32
8511,2
8511,9
8511,12
8511,31
8511,32
769,5
769,8
769,9
769,31
164,5
164,31
55038,5
55038,12
55038,31
10184,11
10184,13
10184,15
10184,32
109419,25
109419,31
21591,4
24856,9
24856,31
24856,32
10917,8
54844,5
54844,32
2917,4
2917,25
2917,31
5787,5
5787,31
26223,9
26223,31
26223,32
7311,2
7311,9
7311,31
8851,5
8851,12
20063,5
20063,25
5850,10
5850,31
81128,9
81128,31
81128,32
81128,33
95668,10
95668,14
95668,32
4063,8
4063,31
6063,8
6063,31
131931,5
131931,31
9279,5
9279,11
9279,12
9279,15
9279,32
9166,15
9166,33
144037,12
144037,31
6743,12
6743,16
6743,32
238675,13
238675,31
136414,12
136414,31
19550,7
11460,5
11460,31
11460,32
11460,33
16478,2
16478,12
16478,31
16478,32
111650,11
1375,10
1375,13
1375,14
3612,9
5042,12
5042,15
5042,16
5042,31
2203,2
2203,9
2203,31
3324,4
3324,8
3324,25
3324,31
13230,31
13230,32
7324,13
7324,14
8471,11
8471,13
8471,15
121748,8
121748,9
121748,31
121748,32
121748,33
15823,9
15823,12
15823,31
15823,32
7364,31
7364,34
9562,31
8216,31
11091,2
11091,9
11091,31
53276,8
53276,9
53276,31
53276,32
75234,4
75234,8
75234,25
75234,31
75234,32
9523,8
9523,14
9523,32
7099,4
725,16
1168,10
6268,8
119247,9
119247,12
119247,31
9623,25
9623,31
9623,32
15646,9
5716,5
5716,31
1406,5
1406,8
1697,8
1697,31
5126,5
20009,4
9765,13
9765,15
8122,8
246166,14
246166,33
2251,12
2251,31
1250,2
1250,9
1250,31
1341,5
1341,9
1341,31
128097,9
128097,12
128097,31
128097,32
225565,9
225565,12
225565,31
225565,32
55,12
55,31
3221,8
3221,9
3221,12
3221,31
3221,32
129097,2
129097,9
129097,31
129097,32
111117,31
111117,32
41812,9
41812,12
41812,31
41812,32
10973,2
10973,9
10973,31
10973,32
82117,13
82117,15
82117,32
39185,13
39185,14
39185,15
131888,10
131888,32
131888,33
21592,12
3976,8
3976,9
3976,15
3976,31
3976,32
3976,33
19902,9
23251,5
23251,9
23251,31
146761,9
146761,13
146761,31
146761,32
4236,9
4236,15
4236,33
29065,2
29065,31
29065,32
222099,8
464,5
6777,7
6777,8
6777,32
6777,33
32964,10
32964,32
32964,33
165346,5
165346,31
79044,7
79044,33
100359,13
100359,14
5883,11
5883,12
5883,15
5883,25
174897,12
174897,25
174897,31
19979,13
19979,15
19979,31
19979,32
23066,12
23066,15
2543,4
324,11
324,15
14418,9
14418,15
14418,32
14418,33
5339,8
5339,31
339,5
339,9
310545,13
310545,32
310545,34
2109,8
2109,9
2109,31
12857,5
12857,33
21843,9
21843,12
21843,31
21843,32
21843,34
41037,5
41037,24
41037,31
3762,8
9538,11
9538,15
9538,32
4123,11
4123,15
23769,13
23769,15
152180,9
152180,32
295,11
295,15
27241,8
27241,31
27241,32
649,11
649,15
18785,11
18785,15
245,11
245,15
647,11
647,15
159,11
159,15
26879,4
26879,12
26879,31
41858,5
41858,25
41858,31
24223,5
24223,31
970,5
970,31
8254,5
8254,9
8254,31
15108,5
15108,31
424,31
20456,5
20456,31
497,5
81085,12
81085,31
966,5
966,9
966,31
76882,31
967,5
967,9
973,5
973,9
973,31
55322,12
55322,31
55322,32
19319,11
19319,12
19319,13
19319,15
19319,31
19319,32
19319,35
7725,5
7725,31
14247,4
14247,8
228374,5
228374,12
228374,31
228374,32
228374,33
26364,5
26364,12
26364,31
26364,32
4132,5
4132,31
5444,9
5444,11
5444,15
144687,8
144687,31
144687,32
144687,33
26193,5
26193,9
26193,31
22502,12
22502,31
41876,5
41876,8
41876,9
41876,31
5503,25
5503,31
7406,8
7406,31
7406,32
41877,5
41877,8
41877,9
41877,31
968,5
968,9
968,31
1583,8
1583,31
10632,13
10632,31
6522,2
6522,31
119277,12
119277,31
3641,14
25821,7
12340,13
12340,14
558,5
558,10
558,31
11241,8
11241,10
11241,32
13134,12
13134,13
13134,31
8603,12
8603,31
5612,31
9082,5
9693,12
9693,14
9693,31
119357,9
119357,12
119357,31
58075,5
58075,11
58075,12
58075,13
58075,15
58075,24
2322,16
2322,31
341,8
341,9
341,31
143574,13
143574,31
6224,10
6224,13
74567,9
74567,31
74567,32
10479,9
10479,31
10479,32
5534,12
5534,13
5534,15
22783,9
22783,31
22783,32
84799,14
84799,33
16733,8
16733,31
16733,32
2481,12
2481,15
2481,31
8072,2
8072,9
8072,31
2327,26
2327,35
9906,8
9906,32
188,4
188,31
121586,15
121586,32
121586,35
192906,13
192906,15
192906,31
744,2
744,9
744,31
5972,25
5972,31
2003,25
2003,31
103316,8
103316,10
103316,14
103316,33
21972,2
21972,31
21972,32
25513,31
8429,5
8429,32
9757,5
9757,33
165347,12
165347,15
165347,24
8130,26
8130,31
27862,25
27862,31
9078,5
6910,14
1272,13
1272,15
45964,5
45964,32
45964,33
195868,4
318284,9
318284,31
318284,32
138235,8
134799,9
134799,13
134799,15
134799,16
134799,32
134799,35
6698,12
6698,15
6698,16
6698,35
5342,8
6517,4
6517,33
1333,13
1333,14
1333,33
10962,5
10962,8
10962,9
10962,31
2630,8
2630,9
2630,33
72813,9
72813,13
72813,31
72813,32
2165,5
2165,13
2165,24
11426,15
11426,16
11426,32
11426,35
199925,15
2235,5
2235,33
152262,12
152262,25
152262,31
7088,7
2603,15
2603,16
2603,35
926,5
37067,7
7886,7
7886,12
7886,31
7886,32
1025,8
1025,12
1025,31
10489,8
10489,32
10489,33
8173,5
8173,15
14569,31
1086,8
1086,33
52190,5
52190,25
52190,31
14568,31
2336,9
2336,31
2336,35
133301,10
133301,13
133301,14
133301,31
14402,8
14402,32
11762,10
11762,13
11762,33
8118,8
8332,10
4391,5
4391,8
4391,31
9580,12
3662,9
3662,15
3662,31
7129,12
7129,25
127343,12
127343,31
10844,12
10844,15
10844,24
3186,4
3186,33
4969,31
24369,5
24369,9
24369,31
161,5
6160,13
6160,31
20031,31
14731,25
14731,31
14731,33
2681,8
2681,31
5421,9
44463,8
44463,31
4181,5
72373,8
72373,13
72373,31
72373,32
2636,33
8307,9
8307,14
8307,15
28548,31
28548,32
171704,9
171704,31
144,11
144,15
15863,5
15863,13
122556,8
158,31
4182,5
4182,31
3815,4
3815,25
3815,31
3815,33
110419,31
35577,31
35577,32
7758,5
7758,33
3465,12
5471,14
3327,8
3327,25
145,12
145,13
145,31
2741,5
2741,33
190,8
190,31
2430,12
156,5
8560,4
8560,7
8560,15
8560,31
8560,32
614,9
614,33
19623,4
19623,12
4026,4
475,12
475,25
475,31
1567,4
1567,33
28282,2
28282,9
28282,31
28282,32
18044,4
30099,13
30099,14
30099,32
2679,7
103329,5
103329,31
476,5
476,31
134100,5
306153,12
306153,13
306153,15
306153,31
306153,34
21084,13
21084,31
6252,4
6252,14
19164,5
19164,12
19164,31
138354,5
138354,12
848,11
848,15
13919,5
13919,12
1390,13
1390,14
144098,12
144098,13
144098,31
144098,32
222873,9
222873,12
222873,31
3471,5
2179,5
13233,5
13233,10
13233,31
10199,15
10199,31
10199,32
18352,5
17219,7
17219,9
17219,32
2685,7
7740,12
277807,5
277807,12
277807,31
3445,15
3445,33
105049,5
105049,12
105049,31
7628,5
7628,8
3383,12
3383,13
13927,5
13927,12
141540,12
141540,31
141540,32
4345,14
21838,4
21838,12
21838,25
43345,4
14678,9
14678,32
14678,33
76263,5
76263,13
76263,31
76263,32
43895,31
136511,8
136511,9
136511,31
136511,32
6452,12
142213,8
142213,31
7307,12
7307,31
11885,5
11885,10
11885,33
78452,5
8290,5
8290,9
8290,31
76638,9
76638,15
76638,32
665,10
11346,2
11346,13
11346,32
21798,9
569,5
1225,9
1225,12
2761,8
262516,5
342,5
342,9
260737,5
260737,12
260737,31
7386,9
7386,31
7386,32
123775,2
123775,9
123775,31
123775,32
123775,34
538,5
538,31
18866,15
2984,24
2984,25
6159,25
6159,31
984,13
984,31
4578,25
8351,12
8351,13
8351,15
8351,32
8351,35
11737,9
11737,13
11737,31
11737,32
145268,8
1246,4
1238,4
2207,8
2207,9
2207,31
1770,5
1770,8
1770,31
1013,4
1013,13
1013,15
1013,33
22251,31
1221,12
1221,31
4006,5
4006,24
4006,31
7704,8
7704,31
20196,5
20196,24
20196,31
13104,9
13104,32
11859,5
4786,5
4786,9
4786,31
19836,5
699,13
699,14
1346,12
4203,5
4203,13
4674,9
4674,15
4674,33
914,14
939,12
939,31
1886,5
1886,31
168,5
168,13
5231,10
5231,14
5231,15
216958,2
216958,9
216958,13
216958,31
216958,32
1321,5
1321,31
342760,13
342760,15
342760,32
1347,5
1418,4
1418,25
145817,12
145817,31
2413,5
2413,25
9348,5
9348,24
5899,10
7812,7
7812,11
7812,15
3753,9
3753,33
3109,5
3109,31
3109,32
20289,8
20289,10
20289,31
4348,8
4348,31
106270,8
2604,8
2604,25
174844,5
174844,12
174844,15
174844,16
174844,24
2267,8
2267,31
2968,11
2968,12
2968,15
2968,24
6269,8
6269,9
8986,12
11071,14
24054,12
24054,13
24054,15
24054,16
24054,31
24054,32
314252,12
314252,31
998,5
998,8
998,31
19986,4
19986,33
164867,12
164867,13
164867,31
12153,5
12153,33
2569,4
2558,4
178283,13
178283,14
178283,15
178283,35
24269,4
24269,25
52006,5
52006,12
52006,13
52006,31
52006,32
52006,33
44884,8
44884,9
44884,15
21701,4
653,5
653,11
653,15
653,24
653,31
2566,4
19835,12
19835,31
26031,25
26031,31
20111,33
2563,4
2254,4
2546,4
113689,12
113689,15
113689,16
113689,31
113689,32
26034,25
26034,31
2581,4
1587,8
26116,25
26116,31
19311,4
1413,4
19308,31
21196,12
2576,4
2577,4
19958,4
19958,25
2987,5
227987,4
2564,4
3896,25
3896,31
279336,5
279336,25
279336,31
2567,4
3977,8
3977,31
92589,31
92589,33
6387,12
263446,12
546,5
546,9
142661,13
142661,15
142661,32
14988,12
14988,31
19348,5
16203,2
16203,9
16203,31
273,5
273,8
9554,31
9554,33
9349,5
9349,24
4891,4
71549,8
5349,8
131784,5
131784,12
131784,33
8947,9
8947,12
8947,15
8947,31
11790,5
11790,31
6036,5
6036,31
45232,15
166,5
166,13
22816,5
22754,31
42489,8
77,12
77,15
191479,5
191479,33
9350,5
9350,15
9350,24
12309,33
338106,8
338106,31
12235,5
12235,33
36926,12
36926,31
2976,5
2976,12
2976,31
118273,12
118273,25
118273,31
5847,4
5847,14
26764,10
26764,33
97258,5
97258,12
26758,8
26758,31
7346,9
7346,31
19564,5
19564,12
19564,31
16310,9
16310,31
16310,32
27421,12
27421,31
9878,8
9878,9
9878,31
9878,32
11156,5
11156,12
11156,31
5241,33
25637,5
25637,24
25637,31
2733,14
7323,5
7323,31
8075,5
6075,5
6075,33
351,5
379,5
379,24
379,31
2699,14
913,14
19135,12
19135,15
44545,12
